Pseudonym,Faculty,Post,Duration of employment,Frequency educator believe students are using AI,AI used by respondents,Professional Development in AI,Modified the course keeping AI in mind
SR54,"Arts, Business, Law  & Economics",adjunct senior lecturer,0 to 5,Never,Bing AI,P.D. UNDERTAKEN,no
SR55,"Arts, Business, Law  & Economics",adjunct senior lecturer,0 to 5,Often,Midjourney,INADEQUATE P.D.,no
SR56, Health & Medical Sciences,on fixed term ,0 to 5,Sometimes,ChatGPT,P.D. UNDERTAKEN,yes
SR57, Health & Medical Sciences,adjunct senior lecturer,0 to 5,Sometimes,Research Rabbit,P.D. UNDERTAKEN,yes
SR58, Health & Medical Sciences,tenured staff,0 to 5,Never,Midjourney,P.D. UNDERTAKEN,yes
SR59,"Arts, Business, Law  & Economics",adjunct senior lecturer,5 to 10,Rarely,Midjourney,P.D. UNDERTAKEN,yes
SR60,"Arts, Business, Law  & Economics",tenured staff,5 to 10,Never,Otter,NO P.D.,yes
SR61,Not indicated ,on fixed term ,>15,Never,Midjourney,NO P.D.,no
SR62,Not indicated ,adjunct senior lecturer,>15,Never,Midjourney,NO P.D.,no
SR63,"Arts, Business, Law  & Economics",on fixed term ,10 to 15,Rarely,Bing AI,NO P.D.,yes
SR64, Health & Medical Sciences,adjunct senior lecturer,10 to 15,Often,Elicit,INADEQUATE P.D.,no
SR65, Health & Medical Sciences,tenured staff,0 to 5,Never,Research Rabbit,INADEQUATE P.D.,no
SR66,Not indicated ,on fixed term ,5 to 10,Rarely,Research Rabbit,INADEQUATE P.D.,maybe
SR67,"Arts, Business, Law  & Economics",adjunct senior lecturer,5 to 10,Often,Research Rabbit,P.D. UNDERTAKEN,yes
SR68,Not indicated ,tenured staff,5 to 10,Never,Dalle-E,P.D. UNDERTAKEN,no
SR69,Not indicated ,on fixed term ,10 to 15,Sometimes,Grammarly,NO P.D.,yes
SR70,"Science, Engineering  & Tech",on fixed term ,>15,Often,Elicit,P.D. UNDERTAKEN,no
SR71,"Science, Engineering  & Tech",adjunct senior lecturer,>15,Never,Research Rabbit,INADEQUATE P.D.,no
SR72,"Science, Engineering  & Tech",adjunct senior lecturer,>15,Often,Midjourney,P.D. UNDERTAKEN,yes
SR73, Health & Medical Sciences,adjunct senior lecturer,0 to 5,Often,Midjourney,P.D. UNDERTAKEN,no
SR74,"Arts, Business, Law  & Economics",tenured staff,0 to 5,Often,Research Rabbit,P.D. UNDERTAKEN,no
SR75,"Arts, Business, Law  & Economics",adjunct senior lecturer,0 to 5,Often,Otter,P.D. UNDERTAKEN,no
SR76,"Arts, Business, Law  & Economics",on fixed term ,0 to 5,Often,Research Rabbit,NO P.D.,yes
SR77,"Arts, Business, Law  & Economics",on fixed term ,0 to 5,Often,Midjourney,NO P.D.,no
SR78,"Science, Engineering  & Tech",adjunct senior lecturer,5 to 10,Never,Dalle-E,NO P.D.,no
SR79, Health & Medical Sciences,adjunct senior lecturer,5 to 10,Sometimes,ChatGPT,NO P.D.,yes
SR80, Health & Medical Sciences,on fixed term ,>15,Rarely,ChatGPT,INADEQUATE P.D.,yes
SR81,"Science, Engineering  & Tech",tenured staff,>15,Often,Elicit,INADEQUATE P.D.,no
SR82, Health & Medical Sciences,adjunct senior lecturer,10 to 15,Rarely,Elicit,INADEQUATE P.D.,yes
SR83,"Science, Engineering  & Tech",adjunct senior lecturer,10 to 15,Never,Research Rabbit,P.D. UNDERTAKEN,no
SR84,"Arts, Business, Law  & Economics",on fixed term ,>15,Often,Bing AI,NO P.D.,yes
SR85,"Science, Engineering  & Tech",adjunct senior lecturer,0 to 5,Sometimes,Research Rabbit,NO P.D.,no
SR86,"Arts, Business, Law  & Economics",tenured staff,5 to 10,Rarely,Otter,INADEQUATE P.D.,no
SR87,"Arts, Business, Law  & Economics",on fixed term ,5 to 10,Often,Research Rabbit,INADEQUATE P.D.,no
SR88,Not indicated ,adjunct senior lecturer,5 to 10,Never,Elicit,INADEQUATE P.D.,yes
SR89,"Science, Engineering  & Tech",on fixed term ,10 to 15,Sometimes,ChatGPT,P.D. UNDERTAKEN,yes
SR90,Not indicated ,adjunct senior lecturer,>15,Rarely,Midjourney,P.D. UNDERTAKEN,no
SR91,"Science, Engineering  & Tech",adjunct senior lecturer,>15,Rarely,Research Rabbit,NO P.D.,yes
SR92,"Science, Engineering  & Tech",adjunct senior lecturer,>15,Often,Midjourney,P.D. UNDERTAKEN,no
SR93,Not indicated ,tenured staff,0 to 5,Sometimes,Midjourney,INADEQUATE P.D.,yes
SR94,Not indicated ,tenured staff,5 to 10,Sometimes,Bing AI,P.D. UNDERTAKEN,no
SR95,"Science, Engineering  & Tech",on fixed term ,5 to 10,Sometimes,Midjourney,P.D. UNDERTAKEN,no
SR96, Health & Medical Sciences,adjunct senior lecturer,5 to 10,Sometimes,ChatGPT,P.D. UNDERTAKEN,no
SR97,"Arts, Business, Law  & Economics",adjunct senior lecturer,10 to 15,Never,Dalle-E,P.D. UNDERTAKEN,no
SR98,Not indicated ,tenured staff,>15,Sometimes,Dalle-E,NO P.D.,no
SR99,"Arts, Business, Law  & Economics",adjunct senior lecturer,>15,Rarely,Grammarly,NO P.D.,yes
SR100, Health & Medical Sciences,tenured staff,>15,Rarely,Otter,NO P.D.,no
SR101, Health & Medical Sciences,adjunct senior lecturer,0 to 5,Never,Research Rabbit,NO P.D.,yes
SR102, Health & Medical Sciences,on fixed term ,5 to 10,Rarely,Otter,INADEQUATE P.D.,no
SR103,Not indicated ,adjunct senior lecturer,5 to 10,Rarely,ChatGPT,INADEQUATE P.D.,no
SR104, Health & Medical Sciences,adjunct senior lecturer,5 to 10,Sometimes,Midjourney,INADEQUATE P.D.,no
SR105,Not indicated ,tenured staff,10 to 15,Rarely,Dalle-E,P.D. UNDERTAKEN,no
SR106, Health & Medical Sciences,adjunct senior lecturer,>15,Never,Otter,NO P.D.,no
SR107,"Arts, Business, Law  & Economics",adjunct senior lecturer,>15,Sometimes,ChatGPT,INADEQUATE P.D.,no
SR108,"Arts, Business, Law  & Economics",tenured staff,>15,Often,Dalle-E,INADEQUATE P.D.,no
SR109,"Science, Engineering  & Tech",on fixed term ,0 to 5,Sometimes,Midjourney,INADEQUATE P.D.,no
SR110,"Arts, Business, Law  & Economics",on fixed term ,0 to 5,Never,Otter,P.D. UNDERTAKEN,no
SR111,"Science, Engineering  & Tech",tenured staff,0 to 5,Sometimes,Dalle-E,P.D. UNDERTAKEN,no
SR112,"Arts, Business, Law  & Economics",tenured staff,0 to 5,Sometimes,Research Rabbit,NO P.D.,yes
SR113,Not indicated ,tenured staff,0 to 5,Never,Elicit,P.D. UNDERTAKEN,no
SR114,"Arts, Business, Law  & Economics",tenured staff,5 to 10,Sometimes,Research Rabbit,INADEQUATE P.D.,no
SR115,"Science, Engineering  & Tech",tenured staff,5 to 10,Never,Grammarly,P.D. UNDERTAKEN,no
SR116,"Science, Engineering  & Tech",on fixed term ,>15,Never,Grammarly,P.D. UNDERTAKEN,no
SR117, Health & Medical Sciences,on fixed term ,>15,Often,Dalle-E,P.D. UNDERTAKEN,maybe
SR118,Not indicated ,tenured staff,10 to 15,Rarely,Elicit,P.D. UNDERTAKEN,maybe
SR119,"Arts, Business, Law  & Economics",adjunct senior lecturer,10 to 15,Rarely,ChatGPT,NO P.D.,maybe
SR120, Health & Medical Sciences,tenured staff,0 to 5,Sometimes,Research Rabbit,NO P.D.,maybe
SR121,"Arts, Business, Law  & Economics",adjunct senior lecturer,5 to 10,Sometimes,ChatGPT,NO P.D.,no
SR122,"Arts, Business, Law  & Economics",tenured staff,5 to 10,Often,Elicit,NO P.D.,no
SR123, Health & Medical Sciences,tenured staff,5 to 10,Often,ChatGPT,INADEQUATE P.D.,no
SR124, Health & Medical Sciences,on fixed term ,10 to 15,Often,Elicit,INADEQUATE P.D.,no
SR125, Health & Medical Sciences,adjunct senior lecturer,>15,Never,Dalle-E,NO P.D.,no
SR126, Health & Medical Sciences,adjunct senior lecturer,>15,Often,ChatGPT,INADEQUATE P.D.,yes
SR127, Health & Medical Sciences,on fixed term ,>15,Often,Research Rabbit,INADEQUATE P.D.,yes
SR128,"Arts, Business, Law  & Economics",on fixed term ,0 to 5,Sometimes,Midjourney,INADEQUATE P.D.,no
SR129, Health & Medical Sciences,on fixed term ,0 to 5,Often,Grammarly,P.D. UNDERTAKEN,yes
SR130,Not indicated ,on fixed term ,0 to 5,Never,Midjourney,P.D. UNDERTAKEN,no
SR131,"Science, Engineering  & Tech",adjunct senior lecturer,0 to 5,Never,ChatGPT,NO P.D.,yes
SR132, Health & Medical Sciences,adjunct senior lecturer,0 to 5,Sometimes,Midjourney,P.D. UNDERTAKEN,no
SR133, Health & Medical Sciences,tenured staff,5 to 10,Often,Research Rabbit,INADEQUATE P.D.,no
SR134,"Arts, Business, Law  & Economics",tenured staff,5 to 10,Often,Research Rabbit,P.D. UNDERTAKEN,no
SR135, Health & Medical Sciences,on fixed term ,>15,Never,ChatGPT,P.D. UNDERTAKEN,no
SR136, Health & Medical Sciences,on fixed term ,>15,Often,Dalle-E,P.D. UNDERTAKEN,no
SR137, Health & Medical Sciences,on fixed term ,10 to 15,Often,Midjourney,P.D. UNDERTAKEN,yes
SR138,"Arts, Business, Law  & Economics",tenured staff,10 to 15,Often,Dalle-E,NO P.D.,yes
SR139, Health & Medical Sciences,tenured staff,>15,Rarely,Dalle-E,NO P.D.,no
SR140,"Science, Engineering  & Tech",tenured staff,0 to 5,Sometimes,Elicit,NO P.D.,no
SR141,"Arts, Business, Law  & Economics",tenured staff,5 to 10,Rarely,Bing AI,NO P.D.,no
SR142,"Science, Engineering  & Tech",tenured staff,5 to 10,Sometimes,ChatGPT,INADEQUATE P.D.,yes
SR143,"Arts, Business, Law  & Economics",tenured staff,5 to 10,Never,Grammarly,INADEQUATE P.D.,no
SR144, Health & Medical Sciences,tenured staff,10 to 15,Often,Research Rabbit,NO P.D.,yes
SR145,"Science, Engineering  & Tech",on fixed term ,>15,Sometimes,Research Rabbit,INADEQUATE P.D.,no
SR146,"Arts, Business, Law  & Economics",on fixed term ,>15,Rarely,ChatGPT,INADEQUATE P.D.,yes
SR147,Not indicated ,on fixed term ,>15,Often,Elicit,INADEQUATE P.D.,no
SR148, Health & Medical Sciences,on fixed term ,0 to 5,Never,Otter,P.D. UNDERTAKEN,yes
SR149,"Arts, Business, Law  & Economics",tenured staff,5 to 10,Sometimes,Otter,P.D. UNDERTAKEN,yes
SR150,Not indicated ,adjunct senior lecturer,5 to 10,Sometimes,Otter,NO P.D.,yes
SR151,"Arts, Business, Law  & Economics",tenured staff,5 to 10,Sometimes,Elicit,P.D. UNDERTAKEN,yes
SR152,Not indicated ,adjunct senior lecturer,10 to 15,Often,Grammarly,INADEQUATE P.D.,yes
SR153, Health & Medical Sciences,on fixed term ,>15,Rarely,Research Rabbit,P.D. UNDERTAKEN,no
SR154,"Science, Engineering  & Tech",tenured staff,>15,Rarely,ChatGPT,P.D. UNDERTAKEN,no
SR155,Not indicated ,on fixed term ,>15,Sometimes,Elicit,P.D. UNDERTAKEN,yes
SR156,"Arts, Business, Law  & Economics",tenured staff,0 to 5,Never,Research Rabbit,P.D. UNDERTAKEN,no
SR157, Health & Medical Sciences,on fixed term ,5 to 10,Never,Dalle-E,NO P.D.,yes
SR158,Not indicated ,adjunct senior lecturer,5 to 10,Rarely,Midjourney,NO P.D.,yes
SR159,"Arts, Business, Law  & Economics",adjunct senior lecturer,5 to 10,Never,Midjourney,NO P.D.,no
SR160,"Arts, Business, Law  & Economics",adjunct senior lecturer,10 to 15,Rarely,Elicit,NO P.D.,yes
SR161,"Arts, Business, Law  & Economics",tenured staff,>15,Sometimes,Research Rabbit,INADEQUATE P.D.,no
SR162,Not indicated ,adjunct senior lecturer,>15,Rarely,Bing AI,INADEQUATE P.D.,no
SR163,Not indicated ,tenured staff,>15,Rarely,Grammarly,NO P.D.,no
SR164,Not indicated ,adjunct senior lecturer,0 to 5,Sometimes,Otter,INADEQUATE P.D.,yes
SR165,"Science, Engineering  & Tech",adjunct senior lecturer,0 to 5,Never,Grammarly,INADEQUATE P.D.,no
SR166,Not indicated ,tenured staff,0 to 5,Rarely,Grammarly,INADEQUATE P.D.,yes
SR167,Not indicated ,tenured staff,0 to 5,Rarely,Elicit,P.D. UNDERTAKEN,yes
SR168,Not indicated ,adjunct senior lecturer,0 to 5,Sometimes,Dalle-E,P.D. UNDERTAKEN,yes
SR169,"Science, Engineering  & Tech",tenured staff,5 to 10,Never,Grammarly,NO P.D.,no
SR170,Not indicated ,adjunct senior lecturer,5 to 10,Rarely,Midjourney,P.D. UNDERTAKEN,yes
SR171,"Arts, Business, Law  & Economics",tenured staff,>15,Sometimes,Dalle-E,INADEQUATE P.D.,no
SR172,Not indicated ,on fixed term ,>15,Rarely,ChatGPT,P.D. UNDERTAKEN,yes
SR173,"Arts, Business, Law  & Economics",on fixed term ,10 to 15,Often,Grammarly,P.D. UNDERTAKEN,no
SR174,"Arts, Business, Law  & Economics",on fixed term ,10 to 15,Sometimes,Grammarly,P.D. UNDERTAKEN,yes
SR175,"Arts, Business, Law  & Economics",on fixed term ,0 to 5,Never,ChatGPT,P.D. UNDERTAKEN,no
SR176,"Science, Engineering  & Tech",on fixed term ,5 to 10,Never,Grammarly,NO P.D.,no
SR177,"Science, Engineering  & Tech",adjunct senior lecturer,5 to 10,Never,ChatGPT,NO P.D.,yes
SR178,"Science, Engineering  & Tech",on fixed term ,5 to 10,Never,Dalle-E,NO P.D.,yes
SR179,Not indicated ,on fixed term ,10 to 15,Rarely,Midjourney,NO P.D.,no
SR180,"Arts, Business, Law  & Economics",on fixed term ,>15,Rarely,ChatGPT,INADEQUATE P.D.,no
SR181,"Science, Engineering  & Tech",on fixed term ,>15,Never,Bing AI,INADEQUATE P.D.,yes
SR182,"Science, Engineering  & Tech",tenured staff,>15,Never,Elicit,NO P.D.,no
SR183,Not indicated ,adjunct senior lecturer,0 to 5,Never,Elicit,INADEQUATE P.D.,yes
SR184,"Science, Engineering  & Tech",on fixed term ,0 to 5,Rarely,ChatGPT,INADEQUATE P.D.,yes
SR185,Not indicated ,on fixed term ,0 to 5,Never,Elicit,NO P.D.,yes
SR186, Health & Medical Sciences,on fixed term ,0 to 5,Never,Grammarly,INADEQUATE P.D.,yes
SR187,"Science, Engineering  & Tech",adjunct senior lecturer,0 to 5,Often,Otter,INADEQUATE P.D.,no
SR188, Health & Medical Sciences,tenured staff,5 to 10,Often,Otter,INADEQUATE P.D.,yes
SR189,Not indicated ,adjunct senior lecturer,5 to 10,Never,Elicit,P.D. UNDERTAKEN,no
SR190,"Arts, Business, Law  & Economics",tenured staff,>15,Sometimes,Dalle-E,P.D. UNDERTAKEN,no
SR191,"Science, Engineering  & Tech",on fixed term ,>15,Never,Research Rabbit,NO P.D.,no
SR192,Not indicated ,on fixed term ,10 to 15,Often,Dalle-E,P.D. UNDERTAKEN,yes
SR193,"Arts, Business, Law  & Economics",adjunct senior lecturer,10 to 15,Sometimes,Research Rabbit,INADEQUATE P.D.,no
SR194,"Arts, Business, Law  & Economics",adjunct senior lecturer,>15,Sometimes,Otter,P.D. UNDERTAKEN,no
SR195, Health & Medical Sciences,tenured staff,0 to 5,Never,Otter,P.D. UNDERTAKEN,yes
SR196,Not indicated ,tenured staff,5 to 10,Often,ChatGPT,P.D. UNDERTAKEN,no
SR197,"Arts, Business, Law  & Economics",adjunct senior lecturer,5 to 10,Often,Midjourney,P.D. UNDERTAKEN,no
SR198,"Science, Engineering  & Tech",tenured staff,5 to 10,Sometimes,Bing AI,NO P.D.,no
SR199,"Science, Engineering  & Tech",adjunct senior lecturer,10 to 15,Never,Dalle-E,INADEQUATE P.D.,yes
SR200, Health & Medical Sciences,tenured staff,>15,Rarely,Grammarly,INADEQUATE P.D.,yes
SR201,"Arts, Business, Law  & Economics",adjunct senior lecturer,>15,Rarely,Research Rabbit,NO P.D.,no
SR202,Not indicated ,adjunct senior lecturer,>15,Often,Elicit,INADEQUATE P.D.,no
SR203,"Science, Engineering  & Tech",adjunct senior lecturer,0 to 5,Rarely,Grammarly,INADEQUATE P.D.,maybe
SR204,"Arts, Business, Law  & Economics",tenured staff,5 to 10,Often,Midjourney,INADEQUATE P.D.,maybe
SR205,"Arts, Business, Law  & Economics",tenured staff,5 to 10,Often,Research Rabbit,P.D. UNDERTAKEN,maybe
SR206, Health & Medical Sciences,tenured staff,5 to 10,Often,Dalle-E,P.D. UNDERTAKEN,no
SR207,"Science, Engineering  & Tech",adjunct senior lecturer,10 to 15,Rarely,ChatGPT,NO P.D.,yes
SR208,"Science, Engineering  & Tech",tenured staff,>15,Often,Grammarly,P.D. UNDERTAKEN,no
SR209,Not indicated ,tenured staff,>15,Sometimes,Midjourney,INADEQUATE P.D.,no
SR210,"Science, Engineering  & Tech",adjunct senior lecturer,>15,Never,Dalle-E,P.D. UNDERTAKEN,no
SR211,Not indicated ,on fixed term ,0 to 5,Never,Otter,P.D. UNDERTAKEN,no
SR212,"Science, Engineering  & Tech",adjunct senior lecturer,5 to 10,Often,Otter,P.D. UNDERTAKEN,no
SR213, Health & Medical Sciences,tenured staff,5 to 10,Never,Dalle-E,P.D. UNDERTAKEN,no
SR214,"Science, Engineering  & Tech",adjunct senior lecturer,5 to 10,Rarely,Dalle-E,NO P.D.,yes
SR215,Not indicated ,on fixed term ,10 to 15,Rarely,Dalle-E,INADEQUATE P.D.,no
SR216,Not indicated ,adjunct senior lecturer,>15,Never,Research Rabbit,INADEQUATE P.D.,maybe
SR217, Health & Medical Sciences,tenured staff,>15,Rarely,Dalle-E,NO P.D.,maybe
SR218,"Science, Engineering  & Tech",on fixed term ,>15,Never,Grammarly,INADEQUATE P.D.,yes
SR219,"Science, Engineering  & Tech",tenured staff,0 to 5,Never,Midjourney,INADEQUATE P.D.,no
SR220, Health & Medical Sciences,on fixed term ,0 to 5,Never,Research Rabbit,INADEQUATE P.D.,no
SR221,"Science, Engineering  & Tech",on fixed term ,0 to 5,Often,Dalle-E,P.D. UNDERTAKEN,yes
SR222,"Science, Engineering  & Tech",adjunct senior lecturer,0 to 5,Never,Bing AI,P.D. UNDERTAKEN,yes
SR223,Not indicated ,adjunct senior lecturer,0 to 5,Often,Elicit,NO P.D.,no
SR224,"Science, Engineering  & Tech",tenured staff,5 to 10,Never,Bing AI,P.D. UNDERTAKEN,no
SR225,"Science, Engineering  & Tech",adjunct senior lecturer,5 to 10,Never,Midjourney,INADEQUATE P.D.,yes
SR226, Health & Medical Sciences,adjunct senior lecturer,>15,Never,Otter,P.D. UNDERTAKEN,no
SR227, Health & Medical Sciences,on fixed term ,>15,Rarely,ChatGPT,P.D. UNDERTAKEN,no
SR228,"Arts, Business, Law  & Economics",adjunct senior lecturer,10 to 15,Often,ChatGPT,P.D. UNDERTAKEN,yes
SR229,Not indicated ,on fixed term ,10 to 15,Often,Elicit,P.D. UNDERTAKEN,no
SR230,"Science, Engineering  & Tech",on fixed term ,0 to 5,Never,Otter,NO P.D.,maybe
SR231,"Science, Engineering  & Tech",on fixed term ,5 to 10,Never,Research Rabbit,INADEQUATE P.D.,maybe
SR232,"Arts, Business, Law  & Economics",tenured staff,5 to 10,Rarely,Research Rabbit,INADEQUATE P.D.,maybe
SR233,"Science, Engineering  & Tech",tenured staff,5 to 10,Rarely,Research Rabbit,NO P.D.,maybe
SR234,Not indicated ,tenured staff,10 to 15,Rarely,ChatGPT,INADEQUATE P.D.,maybe
SR235,"Arts, Business, Law  & Economics",on fixed term ,>15,Often,Bing AI,INADEQUATE P.D.,maybe
SR236,Not indicated ,tenured staff,>15,Often,ChatGPT,INADEQUATE P.D.,maybe
SR237,"Arts, Business, Law  & Economics",tenured staff,>15,Often,Grammarly,P.D. UNDERTAKEN,maybe
SR238,"Arts, Business, Law  & Economics",adjunct senior lecturer,0 to 5,Never,Dalle-E,P.D. UNDERTAKEN,maybe
SR239, Health & Medical Sciences,tenured staff,0 to 5,Often,Research Rabbit,NO P.D.,no
SR240,Not indicated ,tenured staff,0 to 5,Sometimes,Bing AI,P.D. UNDERTAKEN,no
SR241,"Science, Engineering  & Tech",on fixed term ,0 to 5,Sometimes,Midjourney,INADEQUATE P.D.,no
SR242,"Science, Engineering  & Tech",on fixed term ,0 to 5,Rarely,Elicit,P.D. UNDERTAKEN,no
SR243,Not indicated ,on fixed term ,5 to 10,Often,Midjourney,P.D. UNDERTAKEN,no
SR244,"Science, Engineering  & Tech",on fixed term ,5 to 10,Sometimes,Dalle-E,P.D. UNDERTAKEN,no
SR245,"Science, Engineering  & Tech",on fixed term ,>15,Rarely,Bing AI,P.D. UNDERTAKEN,no
SR246,Not indicated ,on fixed term ,>15,Often,ChatGPT,NO P.D.,no
SR247,"Arts, Business, Law  & Economics",tenured staff,10 to 15,Never,ChatGPT,INADEQUATE P.D.,yes
SR248,Not indicated ,on fixed term ,10 to 15,Sometimes,Grammarly,INADEQUATE P.D.,yes
SR249,"Arts, Business, Law  & Economics",on fixed term ,>15,Never,Grammarly,NO P.D.,no
SR250,"Science, Engineering  & Tech",adjunct senior lecturer,0 to 5,Often,ChatGPT,INADEQUATE P.D.,no
SR251,"Science, Engineering  & Tech",tenured staff,5 to 10,Sometimes,Midjourney,INADEQUATE P.D.,yes
SR252,"Science, Engineering  & Tech",tenured staff,5 to 10,Often,Elicit,INADEQUATE P.D.,no
SR253, Health & Medical Sciences,tenured staff,5 to 10,Never,Research Rabbit,P.D. UNDERTAKEN,yes
SR254,"Arts, Business, Law  & Economics",on fixed term ,10 to 15,Sometimes,Midjourney,P.D. UNDERTAKEN,yes
SR255, Health & Medical Sciences,on fixed term ,>15,Never,Elicit,NO P.D.,no
SR256, Health & Medical Sciences,on fixed term ,>15,Often,Grammarly,P.D. UNDERTAKEN,no
SR257,Not indicated ,adjunct senior lecturer,>15,Often,Dalle-E,INADEQUATE P.D.,yes
SR258, Health & Medical Sciences,on fixed term ,0 to 5,Never,Elicit,P.D. UNDERTAKEN,yes
